,t,Q,P,h,Target,dt,tIn,tOff
46,2023-05-12 11:30:00,30.441,75.2719,310.2813885,78.40067235358723,23.0,2023-05-12,2023-05-12 23:00:00
47,2023-05-12 11:45:00,37.7113,97.3105,305.1724911,96.69857335433836,23.0,2023-05-12,2023-05-12 23:00:00
48,2023-05-12 12:00:00,30.2938,75.4784,310.49349442,78.07489427420421,23.0,2023-05-12,2023-05-12 23:00:00
49,2023-05-12 12:15:00,39.2773,100.5589,303.47666348,100.18297067506532,23.0,2023-05-12,2023-05-12 23:00:00
50,2023-05-12 12:30:00,29.3031,71.4832,310.22020410000005,75.20447456392239,23.0,2023-05-12,2023-05-12 23:00:00
51,2023-05-12 12:45:00,37.9608,97.883,304.7340029,97.19847540312692,23.0,2023-05-12,2023-05-12 23:00:00
52,2023-05-12 13:00:00,30.2116,75.1044,310.80043616,77.94001614991663,23.0,2023-05-12,2023-05-12 23:00:00
53,2023-05-12 13:15:00,39.137,99.8371,303.10037941999997,99.70133905933159,23.0,2023-05-12,2023-05-12 23:00:00
54,2023-05-12 13:30:00,28.8079,70.6793,310.47717858,73.15636836319236,23.0,2023-05-12,2023-05-12 23:00:00
55,2023-05-12 13:45:00,35.1262,88.752,304.45765336,89.63746686361803,23.0,2023-05-12,2023-05-12 23:00:00
56,2023-05-12 14:00:00,27.0542,68.4359,311.83445252,68.42245005687744,23.0,2023-05-12,2023-05-12 23:00:00
57,2023-05-12 14:15:00,40.1301,101.2699,302.24991626,101.95634209970262,23.0,2023-05-12,2023-05-12 23:00:00
58,2023-05-12 14:30:00,28.1098,70.2658,311.14102932000003,71.24397637951533,23.0,2023-05-12,2023-05-12 23:00:00
59,2023-05-12 14:45:00,40.4194,102.1129,302.10205396,102.64111356206904,23.0,2023-05-12,2023-05-12 23:00:00
60,2023-05-12 15:00:00,27.851,67.4351,310.45270482,70.43189160872252,23.0,2023-05-12,2023-05-12 23:00:00
61,2023-05-12 15:15:00,38.3286,98.1234,303.97837556,97.89687444847615,23.0,2023-05-12,2023-05-12 23:00:00
62,2023-05-12 15:30:00,36.1053,89.4296,306.61950216,92.89327580752591,23.0,2023-05-12,2023-05-12 23:00:00
63,2023-05-12 15:45:00,34.5768,88.6327,306.73065382,88.89421266473883,23.0,2023-05-12,2023-05-12 23:00:00
64,2023-05-12 16:00:00,40.4286,101.4245,303.2502812,103.05468243948901,23.0,2023-05-12,2023-05-12 23:00:00
65,2023-05-12 16:15:00,29.5861,74.4434,310.34155316,76.21365609484565,23.0,2023-05-12,2023-05-12 23:00:00
66,2023-05-12 16:30:00,39.708,99.0714,302.37738376,100.92648146420711,23.0,2023-05-12,2023-05-12 23:00:00
67,2023-05-12 16:45:00,28.3974,70.7898,311.1889571,71.98398200615043,23.0,2023-05-12,2023-05-12 23:00:00
68,2023-05-12 17:00:00,41.531,104.5365,302.16527784,105.48168999325578,23.0,2023-05-12,2023-05-12 23:00:00
69,2023-05-12 17:15:00,30.7723,75.812,310.44760612,79.50654169777472,23.0,2023-05-12,2023-05-12 23:00:00
70,2023-05-12 17:30:00,39.7838,101.2877,303.27271548,101.41855478472998,23.0,2023-05-12,2023-05-12 23:00:00
71,2023-05-12 17:45:00,32.4138,79.2507,308.85273276000004,83.53750086319823,23.0,2023-05-12,2023-05-12 23:00:00
72,2023-05-12 18:00:00,35.9664,91.8505,304.5198575,91.90224784996204,23.0,2023-05-12,2023-05-12 23:00:00
73,2023-05-12 18:15:00,27.7778,67.8669,310.9238247,70.35337872130721,23.0,2023-05-12,2023-05-12 23:00:00
74,2023-05-12 18:30:00,39.3631,102.0071,305.1266028,100.94768089396378,23.0,2023-05-12,2023-05-12 23:00:00
75,2023-05-12 18:45:00,35.6758,88.5091,307.94006546,92.18355756018332,23.0,2023-05-12,2023-05-12 23:00:00
76,2023-05-12 19:00:00,36.7317,94.8652,305.8863091,94.35822714428804,23.0,2023-05-12,2023-05-12 23:00:00
77,2023-05-12 19:15:00,37.3282,92.6956,306.00969764,95.92922652910914,23.0,2023-05-12,2023-05-12 23:00:00
78,2023-05-12 19:30:00,28.9819,73.8238,309.10460854,73.27286750846821,23.0,2023-05-12,2023-05-12 23:00:00
79,2023-05-12 19:45:00,27.4121,63.7734,312.499323,69.47542585020987,23.0,2023-05-12,2023-05-12 23:00:00
80,2023-05-12 20:00:00,25.9216,67.5589,312.89804134,65.46051990374502,23.0,2023-05-12,2023-05-12 23:00:00
81,2023-05-12 20:15:00,36.7216,91.4933,304.8410756,94.00994219043724,23.0,2023-05-12,2023-05-12 23:00:00
82,2023-05-12 20:30:00,25.9372,65.7713,311.76205098,65.26211463060103,23.0,2023-05-12,2023-05-12 23:00:00
83,2023-05-12 20:45:00,32.9498,81.5266,309.04138466,85.13846313403297,23.0,2023-05-12,2023-05-12 23:00:00
84,2023-05-12 21:00:00,35.0595,90.3498,306.08719788,89.94611156282942,23.0,2023-05-12,2023-05-12 23:00:00
85,2023-05-12 21:15:00,28.2201,69.3926,311.58767544,71.62620326365555,23.0,2023-05-12,2023-05-12 23:00:00
86,2023-05-12 21:30:00,40.5386,104.2692,303.21561004,103.32563003452552,23.0,2023-05-12,2023-05-12 23:00:00
87,2023-05-12 21:45:00,34.2486,84.9155,309.50332688,88.73935176115603,23.0,2023-05-12,2023-05-12 23:00:00
88,2023-05-12 22:00:00,42.0521,107.9727,303.47564374,107.26836551661368,23.0,2023-05-12,2023-05-12 23:00:00
89,2023-05-12 22:15:00,33.7532,85.6109,311.04415402,87.89114110705249,23.0,2023-05-12,2023-05-12 23:00:00
90,2023-05-12 22:30:00,42.2451,106.866,303.99673088,107.94571048860993,23.0,2023-05-12,2023-05-12 23:00:00
91,2023-05-12 22:45:00,35.3939,91.1629,311.08596336,92.28696092606702,23.0,2023-05-12,2023-05-12 23:00:00
92,2023-05-12 23:00:00,45.3473,115.6539,303.09630046,115.37426470890875,23.0,2023-05-12,2023-05-12 23:00:00
